city,date,aqi_category,components_co,components_no,components_no2,components_o3,components_so2,components_pm2_5,components_pm10,components_nh3,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation,aqi_lag_1,pm25_lag_1,aqi_lag_2,pm25_lag_2,aqi_lag_3,pm25_lag_3,pm25_roll_mean_3,aqi_roll_mean_3,pm25_roll_mean_7,aqi_roll_mean_7
Islamabad,2024-07-01,3,898.9970833333333,0.5416666666666666,19.02625,113.42833333333333,8.765416666666667,38.405833333333334,45.7075,9.4075,32.32066716666667,62.342746166666664,23.751917375,0.6,937.428675,11.00231445,164.69569358333334,268.5416666666667,,,,,,,,,,
Islamabad,2024-07-02,3,941.2770833333334,0.7808333333333333,25.70375,106.81083333333333,9.617916666666668,35.55416666666667,44.805,9.061666666666666,31.489417166666666,67.48707379166667,24.499833749999997,0.17916666666666667,936.8953616666666,8.606952016666666,121.84755683333333,259.75,3.0,38.405833333333334,,,,,38.405833333333334,3.0,38.405833333333334,3.0
Islamabad,2024-07-03,2,646.1525,0.7025,13.554583333333333,112.38291666666667,9.169166666666667,24.7825,33.67958333333333,6.555416666666666,32.54150033333333,66.52684204166667,25.097750458333334,0.5,939.1798333333332,13.2562339375,133.81463295833333,270.625,3.0,35.55416666666667,3.0,38.405833333333334,,,36.980000000000004,3.0,36.980000000000004,3.0
Islamabad,2024-07-04,2,788.5691666666667,0.5033333333333333,18.167916666666667,74.83333333333333,7.168333333333333,21.21375,23.842083333333335,5.50875,28.93733383333333,76.78325554166666,24.312334083333337,0.23750000000000002,942.2088775000001,17.19159375,125.61453270833333,179.58333333333334,2.0,24.7825,3.0,35.55416666666667,3.0,38.405833333333334,32.91416666666667,2.6666666666666665,32.91416666666667,2.6666666666666665
Islamabad,2024-07-05,2,1114.2895833333334,1.4995833333333335,28.650833333333335,69.32000000000001,6.902083333333334,22.542916666666667,23.973333333333333,5.048333333333333,27.449834083333332,79.581096375,23.491500708333334,1.075,938.8402358333333,11.9063983,117.60397999999999,159.625,2.0,21.21375,2.0,24.7825,3.0,35.55416666666667,27.18347222222222,2.3333333333333335,29.9890625,2.5
Islamabad,2024-07-06,3,1158.79375,2.2795833333333335,30.8275,76.21291666666666,6.468333333333334,29.489166666666666,31.693749999999998,7.1745833333333335,27.718583749999997,75.701468375,22.856084041666666,0.15833333333333333,939.0382450000001,9.814761908333333,113.56399868333334,247.70833333333334,2.0,22.542916666666667,2.0,21.21375,2.0,24.7825,22.846388888888885,2.0,28.499833333333335,2.4
Islamabad,2024-07-07,3,1519.8395833333334,3.919166666666667,46.0075,64.24833333333333,10.265,40.852916666666665,44.01791666666667,8.425833333333333,27.4394175,74.69424466666666,22.379000625,0.09166666666666666,942.7837029166667,6.766418991666666,202.22806145833331,221.20833333333334,3.0,29.489166666666666,2.0,22.542916666666667,2.0,21.21375,24.415277777777778,2.3333333333333335,28.664722222222224,2.5
Islamabad,2024-07-08,4,1831.6504166666666,10.864166666666668,54.518750000000004,89.78791666666666,11.178333333333335,54.94958333333333,59.88625,10.93125,29.720667625,69.48446341666667,23.368584041666665,0.041666666666666664,944.7875224999999,7.9480391416666665,197.71864495833333,271.2916666666667,3.0,40.852916666666665,3.0,29.489166666666666,2.0,22.542916666666667,30.961666666666662,2.6666666666666665,30.405892857142856,2.5714285714285716
Islamabad,2024-07-09,3,1662.81125,14.703333333333333,46.923750000000005,61.41833333333333,8.327916666666667,47.305416666666666,52.15416666666667,13.267916666666666,29.75191716666667,71.950091625,24.039417291666666,0.3583333333333334,945.6956987499999,9.106515933333332,161.186546,254.0,4.0,54.94958333333333,3.0,40.852916666666665,3.0,29.489166666666666,41.763888888888886,3.3333333333333335,32.769285714285715,2.7142857142857144
Islamabad,2024-07-10,4,1678.9437500000001,6.055416666666666,50.642500000000005,78.74625,10.01375,49.3825,56.76958333333334,11.697916666666666,29.47900033333333,73.93271912499999,24.243583916666665,0.020833333333333332,945.32527875,6.634285491666667,206.93827866666666,239.58333333333334,3.0,47.305416666666666,4.0,54.94958333333333,3.0,40.852916666666665,47.702638888888885,3.3333333333333335,34.448035714285716,2.7142857142857144
Islamabad,2024-07-11,5,2495.0508333333332,12.797916666666666,80.91791666666667,73.02666666666667,18.989166666666666,79.07708333333333,88.09208333333333,13.520000000000001,30.037334208333334,73.47264445833333,24.70400066666667,0.2791666666666667,940.5424499999999,6.2393514041666664,154.92693704166666,239.08333333333334,4.0,49.3825,3.0,47.305416666666666,4.0,54.94958333333333,50.54583333333333,3.6666666666666665,37.96232142857143,3.0
